103.148.201.74:1089, SOCKS4, 4941ms
103.140.35.11:4145, SOCKS4, 4945ms
96.44.137.126:8118, HTTP, 4951ms
159.65.221.25:80, HTTP, 4975ms
185.174.208.195:8080, HTTP, 4981ms
117.4.26.246:1080, SOCKS4, 4984ms
165.99.102.66:1452, HTTP, 4987ms
103.174.122.87:3128, HTTP, 5020ms
193.43.159.165:8080, HTTP, 5022ms
38.50.165.126:999, HTTP, 5039ms
206.245.131.160:80, HTTP, 5055ms
177.87.30.63:8080, HTTP, 5085ms
190.104.26.227:33638, SOCKS4, 5110ms
139.135.182.132:8081, HTTP, 5116ms
207.180.254.198:8080, HTTP, 5125ms
190.97.239.24:999, HTTP, 5126ms
200.105.252.170:5678, SOCKS4, 5174ms
103.156.17.65:8818, HTTP, 5175ms
45.43.60.220:8080, HTTP, 5179ms
176.37.107.86:11111, SOCKS5, 5179ms
121.101.129.103:8080, HTTP, 5199ms
124.41.213.174:5678, SOCKS4, 5210ms
46.197.136.14:8080, HTTP, 5215ms
94.247.241.70:51006, SOCKS4, 5230ms
143.198.135.176:80, HTTP, 5272ms
203.142.5.91:999, HTTP, 5298ms
38.158.83.161:999, HTTP, 5374ms
192.158.15.201:50877, SOCKS4, 5424ms
186.96.111.214:999, HTTP, 5426ms
144.91.121.61:1088, SOCKS5, 5446ms
200.70.35.2:8080, HTTP, 5469ms
170.247.200.138:8088, HTTP, 5479ms
220.158.232.118:1080, SOCKS5, 5489ms
69.36.63.128:1080, SOCKS4, 5489ms
167.99.124.118:80, HTTP, 5500ms
196.223.129.21:80, HTTP, 5507ms
119.15.84.74:8080, HTTP, 5516ms
103.138.185.81:83, HTTP, 5521ms
34.134.231.117:3129, HTTP, 5572ms
103.158.97.83:8080, HTTP, 5583ms
91.211.100.35:44744, SOCKS4, 5583ms
154.73.29.33:8080, HTTP, 5584ms
80.252.137.246:1194, HTTP, 5595ms
88.255.81.73:5050, HTTP, 5603ms
179.1.182.20:999, HTTP, 5630ms
182.253.38.179:3128, HTTP, 5637ms
181.209.122.117:999, HTTP, 5655ms
101.36.104.46:10808, SOCKS5, 5655ms
103.177.104.121:8080, HTTP, 5677ms
45.230.170.30:999, HTTP, 5688ms
195.26.224.135:80, HTTP, 5716ms
36.37.203.215:4153, SOCKS4, 5722ms
95.178.108.189:5678, SOCKS4, 5749ms
102.209.18.236:8080, HTTP, 5777ms
110.39.15.206:8082, HTTP, 5779ms
34.122.187.196:80, HTTP, 5789ms
203.190.46.103:8080, HTTP, 5828ms
94.73.251.19:1080, SOCKS5, 5844ms
200.16.211.68:4153, SOCKS4, 5871ms
190.13.147.241:5678, SOCKS4, 5878ms
116.197.129.170:4145, SOCKS4, 5890ms
103.139.98.69:8080, HTTP, 5897ms
138.122.140.194:3128, HTTP, 5905ms
81.162.249.129:4153, SOCKS4, 5923ms
161.49.100.131:1080, SOCKS4, 5935ms
103.156.17.158:8818, HTTP, 5943ms
202.136.83.167:8090, HTTP, 5962ms
82.193.116.160:21003, SOCKS5, 5977ms
103.163.103.183:8080, HTTP, 6004ms
81.12.157.98:5678, SOCKS4, 6016ms
89.151.134.157:3629, SOCKS4, 6019ms
186.33.52.250:999, HTTP, 6025ms
103.245.16.133:8080, HTTP, 6052ms
119.93.94.108:8080, HTTP, 6054ms
161.49.215.28:10101, HTTP, 6067ms
182.253.144.75:4153, SOCKS4, 6070ms
121.200.60.122:4153, SOCKS4, 6071ms
144.31.255.9:1080, HTTP, 6097ms
165.101.230.76:8080, HTTP, 6114ms
103.70.44.6:8080, HTTP, 6134ms
177.19.167.242:80, HTTP, 6137ms
202.21.106.35:8080, HTTP, 6147ms
123.0.19.210:10000, HTTP, 6147ms
45.7.64.8:999, HTTP, 6192ms
103.171.245.104:1080, HTTP, 6200ms
36.37.189.64:5678, SOCKS4, 6227ms
160.19.18.121:8181, HTTP, 6239ms
192.188.80.218:80, HTTP, 6262ms
113.176.92.71:3128, HTTP, 6273ms
103.74.227.130:56417, SOCKS4, 6286ms
168.243.77.190:999, HTTP, 6298ms
8.218.227.241:12366, HTTP, 6358ms
103.44.2.177:8080, HTTP, 6368ms
170.168.102.55:3128, HTTP, 6413ms
45.224.22.63:999, HTTP, 6416ms
103.66.197.3:8080, HTTP, 6497ms
125.209.110.83:39617, HTTP, 6545ms
45.198.20.202:8085, HTTP, 6582ms
188.165.199.207:80, HTTP, 6640ms
200.123.27.124:999, HTTP, 6660ms
14.207.199.94:8080, HTTP, 6661ms
177.234.192.14:999, HTTP, 6681ms
212.48.134.145:1080, SOCKS5, 6701ms
14.248.84.131:8080, HTTP, 6708ms
141.136.63.126:8080, HTTP, 6756ms
152.200.200.217:999, HTTP, 6868ms
103.172.42.123:1111, HTTP, 6897ms
87.229.205.227:8080, HTTP, 6920ms
103.156.14.26:8080, HTTP, 6923ms
185.109.244.69:8080, HTTP, 6980ms
171.249.163.170:1080, SOCKS4, 6986ms
126.209.110.96:8087, HTTP, 7004ms
103.172.42.39:1111, HTTP, 7022ms
163.223.37.71:7777, HTTP, 7042ms
202.138.240.249:8080, HTTP, 7080ms
37.239.47.74:8080, HTTP, 7152ms
82.207.117.120:8080, HTTP, 7152ms
95.84.164.92:8998, HTTP, 7166ms
103.143.8.126:8089, HTTP, 7171ms
31.192.248.55:8080, HTTP, 7181ms
27.112.66.146:8181, HTTP, 7238ms
38.49.210.79:40000, SOCKS5, 7263ms
179.1.182.23:999, HTTP, 7275ms
47.176.213.210:39593, SOCKS4, 7324ms
45.161.112.227:999, HTTP, 7397ms
200.24.141.161:999, HTTP, 7410ms
146.56.110.131:8118, HTTP, 7447ms
103.165.157.37:3125, HTTP, 7467ms
200.125.169.118:999, HTTP, 7484ms
45.73.0.118:5678, SOCKS4, 7533ms
90.181.120.18:8082, HTTP, 7533ms
118.100.26.71:8080, HTTP, 7605ms
103.247.15.103:9090, HTTP, 7639ms
38.199.6.82:999, HTTP, 7644ms
156.38.112.11:80, HTTP, 7647ms
24.152.58.22:999, HTTP, 7652ms
210.213.99.36:8081, HTTP, 7687ms
105.22.37.218:8080, HTTP, 7689ms
220.81.123.23:48678, HTTP, 7695ms
