================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
103.131.19.51:8080 (http) | 4462ms | ID
38.194.250.66:999 (http) | 4485ms | MX
103.172.71.209:1080 (http) | 4506ms | ID
82.9.133.51:9150 (socks5) | 4536ms | T1
58.69.124.137:8080 (http) | 4549ms | PH
202.47.65.146:3129 (http) | 4570ms | ID
190.153.122.105:999 (http) | 4586ms | VE
160.19.19.31:8080 (http) | 4588ms | ID
190.97.253.233:999 (http) | 4641ms | VE
181.143.59.140:4153 (socks4) | 4651ms | Unknown
187.190.58.152:8081 (http) | 4671ms | MX
43.230.193.154:1080 (socks5) | 4721ms | Unknown
95.140.118.34:1080 (socks4) | 4724ms | RS
103.60.139.129:4153 (socks4) | 4736ms | IN
103.148.178.10:80 (http) | 4738ms | BD
164.52.11.194:18080 (http) | 4751ms | TW
140.227.61.201:3128 (http) | 4755ms | JP
140.238.32.108:3128 (http) | 4779ms | JP
36.95.189.165:5678 (socks4) | 4818ms | Unknown
24.119.238.146:10000 (http) | 4884ms | US
125.209.110.83:39617 (http) | 4898ms | PK
190.97.231.0:999 (http) | 4939ms | VE
38.199.6.82:999 (http) | 4941ms | BO
54.253.167.61:12471 (http) | 4978ms | Unknown
49.0.79.138:8080 (http) | 4981ms | TH
122.15.255.229:60606 (socks4) | 4991ms | IN
101.255.150.238:1080 (socks4) | 5037ms | ID
103.174.236.88:8080 (http) | 5070ms | ID
3.110.68.130:8594 (http) | 5103ms | T1
103.179.183.223:8089 (http) | 5114ms | ID
103.86.57.9:4145 (socks4) | 5139ms | NP
103.38.104.164:7777 (http) | 5176ms | ID
1.179.172.45:31225 (socks4) | 5196ms | TH
45.61.133.104:7777 (http) | 5216ms | RO
164.163.73.5:999 (http) | 5265ms | HN
103.184.54.9:8080 (http) | 5353ms | ID
103.159.96.146:3128 (http) | 5356ms | ID
103.165.155.163:1111 (http) | 5397ms | ID
202.40.177.94:5678 (socks4) | 5407ms | BD
13.51.196.44:31008 (http) | 5422ms | Unknown
103.112.163.131:8080 (http) | 5424ms | ID
13.53.139.178:34039 (http) | 5435ms | Unknown
203.189.135.73:1080 (socks5) | 5446ms | KH
103.48.68.6:83 (http) | 5453ms | IN
43.133.13.187:8889 (http) | 5485ms | Unknown
103.172.42.39:1111 (http) | 5511ms | ID
98.188.47.132:4145 (socks4) | 5516ms | US
45.116.230.79:8080 (http) | 5526ms | IN
130.17.12.137:3128 (http) | 5528ms | DE
103.143.8.126:8089 (http) | 5535ms | IN
208.102.51.6:58208 (socks4) | 5538ms | US
103.213.97.78:80 (http) | 5551ms | Unknown
103.155.169.62:8299 (http) | 5575ms | ID
122.54.226.216:8082 (http) | 5604ms | PH
45.71.114.185:999 (http) | 5621ms | EC
210.87.92.82:8080 (http) | 5667ms | ID
46.188.2.42:5678 (socks4) | 5677ms | RU
150.140.148.235:80 (http) | 5680ms | Unknown
36.93.56.58:8080 (http) | 5701ms | ID
176.191.124.3:80 (http) | 5708ms | Unknown
37.26.86.206:4145 (socks4) | 5709ms | AL
62.201.233.59:4145 (socks4) | 5725ms | IQ
190.13.147.241:5678 (socks4) | 5769ms | CL
177.26.112.65:5678 (socks4) | 5789ms | BR
186.33.52.250:999 (http) | 5810ms | CO
